domain,article_count,avg_relevance,max_relevance,latest_seen_date,sample_title,sample_url,trust_score,regulator_score,source_type,priority_score,is_new_source,run_time_utc
leadership.ng,1,4.0,4,2026-03-29 05:09:30,Compliance Now Key Capital in Nigeria’s Banking Sector – Fairmoney - LEADERSHIP Newspapers,https://leadership.ng,1,2,Regulator,13.75,True,2026-04-02T12:31:26.472810+00:00
biztechmagazine.com,1,4.0,4,2026-03-26 17:06:18,AI for Regulatory Compliance in Banking: From SOX to Real-Time Monitoring - BizTech Magazine,https://biztechmagazine.com,0,2,Regulator,12.25,True,2026-04-02T12:31:26.472810+00:00
businessday.ng,1,3.0,3,2026-03-31 17:14:34,Banks hit 96% recapitalisation compliance as ACAMB applauds sector strength - Businessday NG,https://businessday.ng,1,2,Regulator,11.75,True,2026-04-02T12:31:26.472810+00:00
law.asia,1,3.0,3,2026-03-31 14:05:47,"FSCA revises compliance fees for banking, finance entities - Law.asia",https://law.asia,1,2,Regulator,11.75,True,2026-04-02T12:31:26.472810+00:00
asianbankingandfinance.net,1,3.0,3,2026-03-29 22:00:00,ZA Bank’s Sidney Siu champions compliance by design - Asian Banking & Finance,https://asianbankingandfinance.net,1,2,Regulator,11.75,True,2026-04-02T12:31:26.472810+00:00
ad-hoc-news.de,1,3.0,3,2026-03-27 03:06:58,Cardano Gains Ground with Banking Integration and Regulatory Clarity - AD HOC NEWS,https://www.ad-hoc-news.de,1,2,Regulator,11.75,True,2026-04-02T12:31:26.472810+00:00
theijf.org,1,2.0,2,2026-03-27 13:18:40,Canada’s banking regulator gives itself substandard score on cybersecurity - Investigative Journalism Foundation,https://theijf.org,2,2,Regulator,11.25,True,2026-04-02T12:31:26.472810+00:00
businessupturn.com,1,3.0,3,2026-04-02 05:35:12,Central Bank of India updates code of conduct for insider trading compliance - Business Upturn,https://www.businessupturn.com,0,2,Regulator,10.25,True,2026-04-02T12:31:26.472810+00:00
bankinfosecurity.com,1,3.0,3,2026-04-01 14:11:55,"New Regulatory Pressures Trigger Compliance Overhaul, Strain on Teams - Bank Info Security",https://www.bankinfosecurity.com,0,2,Regulator,10.25,True,2026-04-02T12:31:26.472810+00:00
thebanker.com,1,3.0,3,2026-04-01 09:31:29,Countdown starts for Amla supervision - TheBanker.com,https://www.thebanker.com,0,2,Regulator,10.25,True,2026-04-02T12:31:26.472810+00:00
premiumtimesng.com,1,3.0,3,2026-03-30 21:37:03,ACAMB lauds banking sector’s resilience on meeting recapitalisation deadline - Premium Times Nigeria,https://www.premiumtimesng.com,0,2,Regulator,10.25,True,2026-04-02T12:31:26.472810+00:00
sokodirectory.com,1,3.0,3,2026-03-30 10:50:40,"Beyond Compliance: How NCBA’s Dual ISO Certification Signals a New Era of Trust, Privacy, and Digital Banking Discipline - Soko Directory",https://sokodirectory.com,0,2,Regulator,10.25,True,2026-04-02T12:31:26.472810+00:00
dmarketforces.com,1,3.0,3,2026-03-27 14:27:51,"Insider Risk, Systemic Vulnerabilities In Nigeria’s Banking Architecture - MarketForces Africa",https://dmarketforces.com,0,2,Regulator,10.25,True,2026-04-02T12:31:26.472810+00:00
proshare.co,1,2.0,2,2026-04-01 11:35:00,"CBN Launches AML/CFT Supervision Pilot with Flutterwave, Paystack, KuCoin and Other VASPs - Proshare",https://proshare.co,1,2,Regulator,9.75,True,2026-04-02T12:31:26.472810+00:00
thenationonlineng.net,1,2.0,2,2026-04-01 05:40:23,"CBN rolls out cybersecurity tool for banks, sets compliance deadlines - The Nation Newspaper",https://thenationonlineng.net,1,2,Regulator,9.75,True,2026-04-02T12:31:26.472810+00:00
livelaw.in,1,2.0,2,2026-03-31 13:15:44,Co-operative Society Can Undertake Banking Activities: Kerala High Court Upholds State Co-operative... - Live Law,https://www.livelaw.in,1,2,Regulator,9.75,True,2026-04-02T12:31:26.472810+00:00
studycafe.in,1,2.0,2,2026-03-31 12:33:06,RBI Penalises Central Bank of India Over KYC and Financial Inclusion Violations - Studycafe,https://studycafe.in,1,2,Regulator,9.75,True,2026-04-02T12:31:26.472810+00:00
channeleye.media,1,2.0,2,2026-03-31 10:58:34,Cyber Security Law Workshop – Banking - channeleye.media,https://channeleye.media,1,2,Regulator,9.75,True,2026-04-02T12:31:26.472810+00:00
brokernews.com.au,1,2.0,2,2026-03-31 01:46:39,"APRA reshuffle puts seasoned regulators over banking, insurance, super - Australian Broker News",https://www.brokernews.com.au,1,2,Regulator,9.75,True,2026-04-02T12:31:26.472810+00:00
ibtimes.com.au,1,2.0,2,2026-03-30 14:04:28,Is Wells Fargo Online Banking Down Now? Customers Face Access Issues Nationwide - International Business Times Australia,https://www.ibtimes.com.au,1,2,Regulator,9.75,True,2026-04-02T12:31:26.472810+00:00
a2ztaxcorp.net,1,2.0,2,2026-03-30 12:17:34,"Income tax Dept Clarifies TDS Provisions on Interest under Section 194A for Banking Institutions; Alignment with Income-tax Act, 2025 Explained - A2Z Taxcorp LLP",https://a2ztaxcorp.net,1,2,Regulator,9.75,True,2026-04-02T12:31:26.472810+00:00
scanx.trade,1,2.0,2,2026-03-28 02:49:54,Union Bank of India Discloses ₹95.40 Lakh RBI Penalty for Regulatory Violations - scanx.trade,https://scanx.trade,1,2,Regulator,9.75,True,2026-04-02T12:31:26.472810+00:00
psuconnect.in,1,2.0,2,2026-03-27 13:10:00,"RBI Crackdown: Central Bank of India Slapped with ₹63.6 Lakh Penalty Over KYC, BSBDA Lapses - PSU Connect",https://www.psuconnect.in,1,2,Regulator,9.75,True,2026-04-02T12:31:26.472810+00:00
credit-connect.co.uk,1,2.0,2,2026-03-27 07:46:09,Bank of England streamlines reporting and disclosure requirements - Credit Connect,https://www.credit-connect.co.uk,1,2,Regulator,9.75,True,2026-04-02T12:31:26.472810+00:00
washingtonreporter.news,1,2.0,2,2026-03-26 16:32:22,"SCOOP: Trump pollster finds that Trump voters and the majority of Americans want payment modernization, open banking - Washington Reporter",https://washingtonreporter.news,1,2,Regulator,9.75,True,2026-04-02T12:31:26.472810+00:00
openpr.com,1,2.0,2,2026-04-02 09:49:29,Australia Banking Market - openPR.com,https://www.openpr.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
cyberguy.com,1,2.0,2,2026-04-01 15:03:00,Banking tech data breach exposes 672K in ransomware attack - Kurt the CyberGuy,https://cyberguy.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
thewillnews.com,1,2.0,2,2026-04-01 09:40:55,"CBN Tightens Cybersecurity Rules for Banks, Sets Compliance Deadline - thewill news media",https://thewillnews.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
thisdaylive.com,1,2.0,2,2026-04-01 06:37:21,DataPro Advises Banks on CBN Stress Test Compliance - THISDAYLIVE,https://www.thisdaylive.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
tribuneonlineng.com,1,2.0,2,2026-04-01 05:20:00,"CBN rolls out cybersecurity tool for banks, sets compliance deadlines - Tribune Online",https://tribuneonlineng.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
inc42.com,1,2.0,2,2026-03-31 16:25:38,Fino Payments Bank’s Compliance Officer Aashish Pathak Quits - Inc42,https://inc42.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
caclubindia.com,1,2.0,2,2026-03-31 03:53:00,"No TDS Below Threshold: CBDT Clarifies Banking Provisions Under Income Tax Act, 2025 - CAclubindia",https://www.caclubindia.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
qa-financial.com,1,2.0,2,2026-03-31 03:39:42,Compliance is not enough: Why banks must test AI beyond legal thresholds - QA Financial,https://qa-financial.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
klsescreener.com,1,2.0,2,2026-03-31 03:20:31,Financial system remains resilient on strong regulatory framework – Bank Negara - KLSE Screener,https://www.klsescreener.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
tcs.com,1,2.0,2,2026-03-31 00:21:35,Deutsche Bank Accelerates Compliance with AI-powered Digital Assistant - Tata Consultancy Services,https://www.tcs.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
globalinvestigationsreview.com,1,2.0,2,2026-03-30 18:15:21,Compliance officer withdraws Ghana International Bank whistleblowing claim - Global Investigations Review,https://globalinvestigationsreview.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
infotechlead.com,1,2.0,2,2026-03-30 17:28:34,"Intesa Sanpaolo Fined $36.4 mn Over Data Breach, Exposing Gaps in Banking Cybersecurity Controls - InfotechLead",https://infotechlead.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
nairametrics.com,1,2.0,2,2026-03-30 16:22:54,"Banks step up ESG compliance ahead of 2028 deadline, insurers lag - Nairametrics",https://nairametrics.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
technadu.com,1,2.0,2,2026-03-30 11:11:17,"Cyber Job Moves: Security And Tech Appointments In Banking, AI, And Enterprise Systems - TechNadu",https://www.technadu.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
tipranks.com,1,2.0,2,2026-03-30 09:20:33,Bank of Tianjin Names Executive Director Dong Xiaodong as Chief Compliance Officer - TipRanks,https://www.tipranks.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
deshkalnews.com,1,2.0,2,2026-03-30 07:51:14,Bangladesh Bank sets 31 Dec deadline for cybersecurity compliance - DeshkalNews,https://www.deshkalnews.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
moneycontrol.com,1,2.0,2,2026-03-30 03:36:19,Banking Central | RBI has a message for payments industry - Moneycontrol.com,https://www.moneycontrol.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
legal.economictimes.indiatimes.com,1,2.0,2,2026-03-27 17:53:57,"RBI imposes monetary penalty on 3 govt banks, Pine Labs for non-compliance with directions - ETLegalWorld.com",https://legal.economictimes.indiatimes.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
bankingdive.com,1,2.0,2,2026-03-27 15:08:55,"Visa, Mastercard, PayPal, Stripe warned of debanking consequences - Banking Dive",https://www.bankingdive.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
cnbctv18.com,1,2.0,2,2026-03-27 13:39:45,"RBI fines Bank of India, Central Bank for breaking rules on loans, deposits, and KYC checks - CNBC TV18",https://www.cnbctv18.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
commercialbaking.com,1,2.0,2,2026-03-27 13:02:21,Banking lessons for bakers: Investing in cybersecurity - Commercial Baking,https://commercialbaking.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
paloaltonetworks.com,1,2.0,2,2026-03-27 12:04:36,Platformization strengthens UK merchant banking group’s security and accelerates digital transformation - Palo Alto Networks,https://www.paloaltonetworks.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
patch.com,1,2.0,2,2026-03-26 23:27:17,New Hampshire Mutual Bancorp VP Earns Certified Regulatory Compliance Manager Credential - Patch,https://patch.com,0,2,Other,8.25,True,2026-04-02T12:31:26.472810+00:00
myjoyonline.com,1,2.0,2,2026-03-26 13:52:49,BoG unveils six-point strategy to strengthen cybersecurity in banking sector - MyJoyOnline,https://www.myjoyonline.com,0,2,Regulator,8.25,True,2026-04-02T12:31:26.472810+00:00
cfotech.com.au,1,2.0,2,2026-04-02 01:48:00,Pexa Clear opens for property AML compliance ahead - CFOtech Australia,https://cfotech.com.au,1,0,FIU/AML,6.75,True,2026-04-02T12:31:26.472810+00:00
mccarthy.ca,1,2.0,2,2026-03-31 20:58:58,Canada’s AML Reform Advances: Bill C-12 Brings Hefty Penalties and Higher Compliance Expectations into Force - McCarthy Tétrault,https://www.mccarthy.ca,1,0,Legislation,6.75,True,2026-04-02T12:31:26.472810+00:00
hoganlovells.com,1,2.0,2,2026-04-01 23:59:00,Amendments to the Regulations of the Federal Law for the Prevention and Identification of Operations with Resources of Illicit Origin (AML Law): Key legal implications - www.hoganlovells.com,https://www.hoganlovells.com,0,0,FIU/AML,5.25,True,2026-04-02T12:31:26.472810+00:00
sg.finance.yahoo.com,1,2.0,2,2026-04-01 14:10:00,Abrigo Now a Nacha Preferred Partner for ACH Experience/Compliance/Risk and Fraud Prevention - Yahoo Finance Singapore,https://sg.finance.yahoo.com,0,0,Other,5.25,True,2026-04-02T12:31:26.472810+00:00
deloitte.com,1,2.0,2,2026-04-01 01:39:24,"AMLA, AML Regulation, and Financial Crime - Deloitte",https://www.deloitte.com,0,0,FIU/AML,5.25,True,2026-04-02T12:31:26.472810+00:00
omnilert.com,1,2.0,2,2026-03-31 19:18:54,Meet Omnilert at ABA Risk & Compliance Conference 2026 - Omnilert,https://www.omnilert.com,0,0,Other,5.25,True,2026-04-02T12:31:26.472810+00:00
binance.com,1,2.0,2,2026-03-31 19:03:08,CrypFine Partners With Elliptic to Strengthen Blockchain Analytics and AML Compliance - Binance,https://www.binance.com,0,0,FIU/AML,5.25,True,2026-04-02T12:31:26.472810+00:00
tlt.com,1,2.0,2,2026-03-30 09:42:00,UK Government strengthens AML and crypto controls through the Money Laundering and Terrorist Financing (Amendment) Regulations 2026 - TLT LLP,https://www.tlt.com,0,0,FIU/AML,5.25,True,2026-04-02T12:31:26.472810+00:00
etedge-insights.com,1,2.0,2,2026-03-30 00:16:12,Why AI-powered AML systems may be making financial crime risk invisible - ET Edge Insights,https://etedge-insights.com,0,0,FIU/AML,5.25,True,2026-04-02T12:31:26.472810+00:00
ey.com,1,2.0,2,2026-03-29 20:48:45,How the EU AML package is transforming compliance for financial firms - EY,https://www.ey.com,0,0,FIU/AML,5.25,True,2026-04-02T12:31:26.472810+00:00
bvinews.com,1,2.0,2,2026-03-28 01:38:25,NBVI is seeking a Chief Compliance and Risk Officer - BVI News,https://bvinews.com,0,0,Media,5.25,True,2026-04-02T12:31:26.472810+00:00
